degree,window,bandwidth,avg_return,num_stocks
1.0,30.0,0.7,385.46780188474895,86.0
1.0,30.0,0.7999999999999999,365.6490430936359,86.0
1.0,30.0,0.8999999999999999,361.250637841555,86.0
1.0,30.0,1.0,361.2755752855909,86.0
1.0,30.0,1.1,366.224830826172,86.0
1.0,30.0,1.1999999999999995,385.4599867430925,86.0
1.0,30.0,1.2999999999999998,378.90540653391986,86.0
1.0,30.0,1.4,401.8119739336168,86.0
1.0,30.0,1.4999999999999998,405.9744004525083,86.0
1.0,30.0,1.5999999999999996,394.9843781696675,86.0
1.0,30.0,1.6999999999999995,402.6990510475094,86.0
1.0,30.0,1.7999999999999998,432.29170497971353,86.0
1.0,30.0,1.8999999999999997,433.0026865336368,86.0
1.0,30.0,1.9999999999999996,457.8227884448862,86.0
1.0,30.0,2.0999999999999996,425.30871884818026,86.0
1.0,30.0,2.1999999999999997,430.8175298684728,86.0
1.0,30.0,2.3,449.1346130404043,86.0
1.0,30.0,2.3999999999999995,428.6763889456709,86.0
1.0,30.0,2.4999999999999996,442.990009978288,86.0
1.0,30.0,2.5999999999999996,462.0595874313603,86.0
1.0,30.0,2.6999999999999993,471.3673107440118,86.0
1.0,30.0,2.7999999999999994,441.9659193204821,86.0
1.0,30.0,2.8999999999999995,479.3277435017273,86.0
1.0,30.0,2.9999999999999996,487.1480502442585,86.0
1.0,30.0,3.0999999999999996,501.0690741883678,86.0
1.0,30.0,3.1999999999999993,506.8331258267815,86.0
1.0,30.0,3.2999999999999994,481.1543440250929,86.0
1.0,30.0,3.3999999999999995,492.8190551898046,86.0
1.0,30.0,3.499999999999999,529.643590769148,86.0
1.0,30.0,3.599999999999999,531.9036742222381,86.0
1.0,30.0,3.6999999999999993,523.5925093554387,86.0
1.0,30.0,3.7999999999999994,482.3372388479976,86.0
1.0,30.0,3.899999999999999,441.7797485115672,86.0
1.0,30.0,3.999999999999999,418.4356881567314,86.0
1.0,40.0,0.5,409.9563063186391,86.0
1.0,40.0,0.6,384.0639662683752,86.0
1.0,40.0,0.7,390.05318290706174,86.0
1.0,40.0,0.7999999999999999,402.8877196908672,86.0
1.0,40.0,0.8999999999999999,410.65128928355193,86.0
1.0,40.0,1.0,415.1301486747358,86.0
1.0,40.0,1.1,421.4455672520272,86.0
1.0,40.0,1.1999999999999995,437.57587396913505,86.0
